id;nombres;primer_apellido;segundo_apellido;telefono;email;direccion;referencia;latitude;longitude
1;Card;transform;generating enterprise Surinam;Entrada virtual;LuisMiguel95@hotmail.com;AGP Savings maximizada;incubate;47670;39884
2;Cuentas initiatives transmitter;matrix digital cliente;Reactivo;feed;Esperanza.Navarrete9@yahoo.com;CSS tangible;indexing;47430;74459
3;morph uniforme;Granito;red;invoice;Hugo_Delen@yahoo.com;Verde Extremadura seamless;Haiti;70797;15603
4;Poblado Pollo sensor;deposit;transmitter Coche;La bandwidth;Ral.Gracia36@yahoo.com;Técnico;Atún;96645;61873
5;Patatas Humano wireless;payment;microchip microchip quantify;mobile Platinum;Benito62@hotmail.com;Loan Gris;optimize Moda;84476;12287
6;Juguetería Lugar;Cambridgeshire;Account Avon;optical Somali;Eloisa_Rivero@hotmail.com;Blanco Corporativo;División Cliente primary;62838;90912
7;Cambridgeshire 24/7 Sudanese;Pequeño;compressing bus;Intranet;Rebeca.Santilln@gmail.com;feed port Berkshire;Gorro Mejorado Inteligente;49655;45413
8;Librería Futuro;up;cross-platform Muelle;Borders;Alfonso_Badillo67@gmail.com;Account;Hormigon Rústico Pollo;33318;88809
9;front-end IB;withdrawal Azul compress;Sudán;real;Irene.Fierro92@yahoo.com;Plástico quantifying virtual;compressing withdrawal;75931;62874
10;world-class Jefe Patatas;withdrawal;Canarias;Burundi calculating initiatives;Alejandra_Macas@yahoo.com;invoice distributed synthesizing;reboot Lado Azul;10789;50341
