id;numero;vigencia;codigo
1;Violeta recíproca Creativo;parsing Región overriding;blockchains capa Unido
2;collaborative Ergonómico solid;synthesizing;Refinado Dollar
3;Partida;Zapatos;Rústico
4;Account Andalucía;Artesanal;productize
5;Pequeño Configuración;HTTP Informática Expandido;Director
6;España Jefe;Rico 4th;payment Finlandia USB
7;Negro Borders data-warehouse;Galicia Pataca;Silla Pizza
8;Morado Mascotas Jefe;Corporativo vortals Seguro;aprovechar Calidad
9;Trinidad;Metal Moda Cliente;Masía
10;no-volátil Sabroso;Pollo Marca;Rústico
